time,High_level,linear_acc.x,linear_acc.y,linear_acc.z
74.7496755123,Inactive,355.0,893.0,200.0
74.76985549930001,Inactive,353.0,880.0,148.0
74.7902436256,Inactive,279.0,849.0,78.0
74.8108482361,Inactive,274.0,809.0,16.0
74.8312301636,Inactive,398.0,890.0,51.0
74.8518941402,Inactive,388.0,930.0,164.0
74.872076273,Inactive,408.0,954.0,301.0
74.8924338818,Inactive,366.0,919.0,255.0
74.9133136272,Inactive,261.0,900.0,51.0
74.9339027405,Inactive,138.0,883.0,-161.0
74.9540600777,Inactive,109.0,886.0,-303.0
74.9744157791,Inactive,198.0,893.0,-191.0
74.9956960678,Inactive,274.0,873.0,-9.0
75.01549315449999,Inactive,336.0,814.0,219.0
75.0362007618,Inactive,324.0,796.0,188.0
75.0563826561,Inactive,145.0,889.0,-43.0
75.0770688057,Inactive,110.0,971.0,-113.0
75.0978319645,Inactive,149.0,1016.0,-92.0
75.118190527,Inactive,388.0,1064.0,208.0
75.138248682,Inactive,347.0,1015.0,373.0
75.1591563225,Inactive,294.0,941.0,409.0
75.17925786970001,Inactive,380.0,986.0,354.0
75.2006287575,Inactive,423.0,973.0,335.0
75.2201282978,Inactive,416.0,882.0,270.0
75.240894556,Inactive,244.0,805.0,41.0
75.26128673550001,Inactive,156.0,868.0,-22.0
75.28155112270001,Inactive,64.0,751.0,4.0
75.3020191193,Inactive,51.0,667.0,23.0
75.3227674961,Inactive,65.0,682.0,57.0
75.3429811001,Inactive,39.0,936.0,162.0
75.36428880689999,Inactive,9.0,1072.0,222.0
75.3845043182,Inactive,-8.0,1105.0,287.0
75.4044523239,Inactive,68.0,953.0,260.0
75.42498588560001,Inactive,68.0,907.0,217.0
75.44605755810001,Inactive,77.0,894.0,167.0
75.4662098885,Inactive,-48.0,1066.0,317.0
75.4863967896,Inactive,-85.0,1071.0,509.0
75.50734806060001,Inactive,-79.0,1019.0,469.0
75.52734923359999,Inactive,-104.0,857.0,227.0
75.54782652850001,Inactive,-19.0,796.0,81.0
75.5687270164,Inactive,9.0,794.0,84.0
75.5887293816,Inactive,-14.0,965.0,300.0
75.6094770432,Inactive,-14.0,1014.0,453.0
75.6299593449,Inactive,25.0,962.0,448.0
75.6502728462,Inactive,0.0,958.0,354.0
75.6708462238,Inactive,-74.0,958.0,239.0
75.6910967827,Inactive,-84.0,968.0,40.0
75.7118155956,Inactive,-13.0,994.0,96.0
75.7282078266,Inactive,45.0,1003.0,208.0
75.748572588,Inactive,38.0,1014.0,389.0
75.7694611549,Inactive,-18.0,966.0,355.0
75.789536953,Inactive,-25.0,896.0,141.0
75.8106276989,Inactive,-80.0,927.0,267.0
75.8308644295,Inactive,-58.0,956.0,343.0
75.8510406017,Inactive,-41.0,1023.0,374.0
75.871338129,Inactive,18.0,1004.0,384.0
75.89258241649999,Inactive,169.0,1033.0,472.0
75.9126598835,Inactive,194.0,1055.0,558.0
75.9338107109,Inactive,89.0,1100.0,535.0
75.9532368183,Inactive,-18.0,1113.0,478.0
75.9740519524,Inactive,-30.0,1013.0,342.0
75.994212389,Inactive,17.0,990.0,295.0
76.0147366524,Inactive,33.0,998.0,322.0
76.0355548859,Inactive,51.0,1021.0,328.0
76.0556588173,Inactive,46.0,1040.0,338.0
76.07620620729999,Inactive,15.0,995.0,319.0
76.0976939201,Inactive,4.0,983.0,255.0
76.1171398163,Inactive,7.0,1013.0,217.0
76.1378662586,Inactive,59.0,1059.0,207.0
76.158028841,Inactive,77.0,1083.0,272.0
76.1787273884,Inactive,45.0,1046.0,429.0
76.1990685463,Inactive,79.0,940.0,349.0
76.2196953297,Inactive,31.0,881.0,212.0
76.2406022549,Inactive,77.0,828.0,106.0
76.26053619380001,Inactive,221.0,990.0,182.0
76.28111577029999,Inactive,195.0,1096.0,281.0
76.3019964695,Inactive,163.0,1152.0,403.0
76.3219511509,Inactive,181.0,1099.0,427.0
76.34289193149999,Inactive,216.0,1030.0,433.0
76.3635544777,Inactive,240.0,884.0,286.0
76.38337945939999,Inactive,219.0,843.0,175.0
76.4038805962,Inactive,180.0,886.0,97.0
76.4243590832,Inactive,97.0,1002.0,104.0
76.445053339,Inactive,88.0,1027.0,138.0
76.4659543037,Inactive,117.0,1050.0,170.0
76.4859111309,Inactive,230.0,1114.0,211.0
76.5069031715,Inactive,201.0,1134.0,189.0
76.5267057419,Inactive,171.0,926.0,42.0
76.5474872589,Inactive,193.0,841.0,-73.0
76.567789793,Inactive,159.0,777.0,-118.0
76.5885257721,Inactive,285.0,847.0,1.0
76.6086714268,Inactive,280.0,970.0,95.0
76.630109787,Inactive,206.0,1103.0,203.0
76.6499707699,Inactive,228.0,1245.0,409.0
76.67037010189999,Inactive,286.0,1186.0,501.0
76.6905298233,Inactive,273.0,1100.0,565.0
76.7111713886,Inactive,257.0,1102.0,530.0
76.7331621647,Inactive,204.0,1089.0,460.0
76.7521882057,Inactive,121.0,1051.0,314.0
76.77298927310001,Inactive,170.0,1056.0,268.0
76.79293322560001,Inactive,308.0,1105.0,293.0
76.8136022091,Inactive,496.0,1486.0,682.0
76.8344845772,Inactive,358.0,1462.0,748.0
76.8545210361,Inactive,99.0,1221.0,537.0
76.8753898144,Inactive,-177.0,718.0,-246.0
76.8957166672,Inactive,-154.0,683.0,-491.0
76.91597247119999,Inactive,-146.0,668.0,-468.0
76.9363102913,Inactive,-74.0,668.0,-273.0
76.9567718506,Inactive,-6.0,730.0,-2.0
76.97752666470001,Inactive,224.0,672.0,376.0
76.9981067181,Inactive,224.0,632.0,452.0
77.0181863308,Inactive,96.0,677.0,541.0
77.0388870239,Inactive,-83.0,882.0,781.0
77.0591397285,Inactive,-99.0,972.0,804.0
77.0797009468,Inactive,-71.0,975.0,747.0
77.1002101898,Inactive,71.0,774.0,468.0
77.1209831238,Inactive,138.0,633.0,396.0
77.1413247585,Inactive,230.0,497.0,327.0
77.1625981331,Inactive,637.0,-38.0,78.0
77.1821100712,Inactive,865.0,-304.0,-140.0
77.2033369541,Inactive,1027.0,-320.0,-161.0
77.2229406834,Inactive,1079.0,-290.0,-93.0
77.2441835403,Inactive,1106.0,-278.0,-192.0
77.2646725178,Inactive,1048.0,-538.0,-559.0
77.2849047184,Inactive,1163.0,-628.0,-596.0
77.3050336838,Inactive,1324.0,-748.0,-402.0
77.3253917694,Inactive,1762.0,-829.0,140.0
77.3461225033,Inactive,1986.0,-847.0,365.0
77.3670642376,Inactive,2157.0,-936.0,394.0
77.3872468472,Inactive,2589.0,-1435.0,563.0
77.40788173680001,Inactive,2611.0,-1711.0,1274.0
77.4280240536,Inactive,2623.0,-2078.0,2351.0
77.4484357834,Inactive,2747.0,-3793.0,4025.0
77.4694781303,Inactive,2640.0,-4346.0,4255.0
77.48935151100001,Inactive,1515.0,-3503.0,3662.0
77.51001787189999,Inactive,592.0,-2991.0,2797.0
77.5314793587,Inactive,121.0,-2723.0,1600.0
77.5508227348,Inactive,137.0,-1587.0,-202.0
77.57216739649999,Inactive,-256.0,-436.0,-732.0
77.5916407108,Inactive,-786.0,937.0,-1144.0
77.6084384918,Inactive,-1308.0,2438.0,-2150.0
77.6291241646,Inactive,-1302.0,2596.0,-2493.0
77.6497786045,Inactive,-911.0,2397.0,-2410.0
77.6700739861,Inactive,55.0,1830.0,-348.0
77.6901535988,Inactive,-28.0,1662.0,884.0
77.7109260559,Inactive,258.0,1485.0,2548.0
77.73253059390001,Inactive,582.0,1142.0,2729.0
77.7513995171,Inactive,924.0,584.0,2715.0
77.7719902992,Inactive,1845.0,-859.0,4258.0
77.792378664,Inactive,2121.0,-1600.0,5292.0
